# 原文	译文	风险	出现次数	出现于
サービス利用規約		法条勿动	1	js/top/TopPage.js
ゲーム開始			1	js/top/TopPage.js
件受け取りました。<br><br>※魔法少女はプレゼントボックスよりお受け取りください。<br>※受け取ったアイテムは直接付与されています。		HTML片段	1	js/campaign/summer_mission/CampaignSummerMissionTopView.js
マギレコミラクルクイズ～＠あなたは全問正解できるかしら＠解答速度も計るから注意してね♪			1	js/campaign/quiz/CampaignQuizTop.js
お疲れさまぁ＠チャンスは１回だけじゃないから＠良ければ再チャレンジしてみてね			1	js/campaign/quiz/CampaignQuizTop.js
パフパフパフー♪＠パーフェクトおめでとう！＠全部解けるとすっきりするわよね			1	js/campaign/quiz/CampaignQuizTop.js
マギレコ,マギレコ５周年,マギレコミラクルクイズ			1	js/campaign/quiz/CampaignQuizTop.js
ボックス内容一覧			1	js/campaign/box_gacha/CampaignBoxGachaTop.js
ボックス内の目玉報酬を獲得したため、次のボックスへの変更が可能です。\\x3cbr\\x3eボックス内容をリセットして次のボックスに変更しますか？\\x3cspan class\\x3d'caution c_red'\\x3e※現在のボックス内の報酬アイテムは引くことができなくなります。\\x3c/span\\x3e			1	js/campaign/box_gacha/CampaignBoxGachaTop.js
ガチャ結果			1	js/campaign/box_gacha/CampaignBoxGachaTop.js
キャンペーンガチャ			1	js/campaign/box_gacha/CampaignBoxGachaTop.js
全て引く			1	js/campaign/box_gacha/CampaignBoxGachaTop.js
オーブ・ブック一覧			1	js/util/SearchQuest.js
\\x3cp\\x3eタッチしてストーリーを\\x3cbr\\x3e開始しましょう\\x3c/p\\x3e			1	js/util/TutorialUtil.js
\\x3cp\\x3eクエストをサポートしてくれる魔法少女を選択しましょう\\x3cbr\\x3eサポートしてもらうことでサポートポイントを獲得できます\\x3c/p\\x3e			1	js/util/TutorialUtil.js
\\x3cp\\x3eメインメニューが使用可能になりました。\\x3cbr\\x3eMENUをタッチしてください\\x3c/p\\x3e			1	js/util/TutorialUtil.js
\\x3cp\\x3eメインメニューからは様々な画面に移動することができます\\x3cbr\\x3e「ガチャ」に移動してみましょう\\x3c/p\\x3e			1	js/util/TutorialUtil.js
\\x3cp\\x3eガチャでは魔法少女やメモリアを手に入れることができます\\x3cbr\\x3e特別に選んだ魔法少女1体を必ずもらえるガチャを用意しました\\x3cbr\\x3e好きな魔法少女を選んでみましょう\\x3c/p\\x3e			1	js/util/TutorialUtil.js
\\x3cp\\x3e魔法少女を選んだらガチャを引いて仲間にしてみましょう\\x3cbr\\x3e★4魔法少女は選んだ1体のみ出現します\\x3cbr\\x3eガチャを引くまでは魔法少女を選びなおすことが可能です\\x3c/p\\x3e			1	js/util/TutorialUtil.js
\\x3cp\\x3e仲間にした魔法少女を\\x3cbr\\x3eチームに入れてみましょう\\x3c/p\\x3e			1	js/util/TutorialUtil.js
\\x3cp\\x3eクエスト用のチームを編成しましょう\\x3c/p\\x3e			1	js/util/TutorialUtil.js
\\x3cp\\x3e未設定をタッチしてください\\x3c/p\\x3e			1	js/util/TutorialUtil.js
\\x3cp\\x3e先ほど仲間にした魔法少女をタッチしてください\\x3c/p\\x3e			1	js/util/TutorialUtil.js
\\x3cp\\x3e魔法少女をチームに参加させることができました\\x3cbr\\x3e「決定」をタッチしてください\\x3c/p\\x3e			1	js/util/TutorialUtil.js
\\x3cp\\x3e他の魔法少女も編成してみましょう\\x3cbr\\x3eお任せ編成ボタンをタッチすることで、\\x3cbr\\x3e自動でチームを編成できます\\x3c/p\\x3e			1	js/util/TutorialUtil.js
\\x3cp\\x3e編成したチームで\\x3cbr\\x3e次のクエストに進みましょう\\x3c/p\\x3e			1	js/util/TutorialUtil.js
マギアレポート 第			1	js/collection/MagiRepo.js
進む			1	js/collection/MagiRepoDetail.js
\\x3c/span\\x3eが\\x3cspan class\\x3d'c_pink'\\x3e１個\\x3c/span\\x3e不足しています。			1	js/collection/StoryCollection.js
\\x3e"+A+"\\x3c/span\\x3eが\\x3cspan class\\x3d			1	js/collection/StoryCollection.js
\\x3e１個\\x3c/span\\x3e不足しています。",\nl&&(f+="You are missing \\x3cspan class\\x3d			1	js/collection/StoryCollection.js
を\\x3cbr\\x3eホーム背景に設定しました。			1	js/user/BackgroundSet.js
\\x3cp class\\x3d'noList ts_white'\\x3e戦歴がありません\\x3c/p\\x3e			1	js/user/EventRecord.js
画面上のボタンを非表示にします。\\x3cbr\\x3e\\x3cbr\\x3e非表示に切り替え後は\\x3cbr\\x3e画面長押しでボタンが表示されます。			1	js/user/MyPage.js
非表示にする			1	js/user/MyPage.js
アクセス時:			1	js/user/MyPage.js
確認しました			1	js/user/MyPage.js
引き継ぎ・連携用パスワードの設定について			1	js/user/MyPage.js
あとで設定			1	js/user/MyPage.js
設定する			1	js/user/MyPage.js
プレゼントを受け取りました。			1	js/user/MyPage.js
キャンペーンのプレゼントが受け取れませんでした。[			1	js/user/MyPage.js
コード不正			1	js/user/MyPage.js
キャンペーンのプレゼントを受け取りました。\\x3cbr\\x3eプレゼントをご確認ください。			1	js/user/MyPage.js
ユーザーが存在しません			1	js/user/MyPage.js
トップページに戻ります			1	js/user/MyPage.js
\\x3cdiv class\\x3d"scrollInnerWrap"\\x3e引き継ぎ・連携用パスワードを設定しておくことで\\x3cbr\\x3e機種変更時や、端末が壊れてしまった場合など\\x3cbr\\x3eデータを新しい端末に引き継ぐことができます。\\x3cbr\\x3e\\x3cbr\\x3eいますぐパスワードを設定しますか？\\x3cbr\\x3e\\x3cbr\\x3e\\x3cspan class\\x3d"c_red"\\x3e※パスワードを設定していない場合\\x3cbr\\x3eこの端末のデータを引き継ぐことはできません。\\x3c/span\\x3e\\x3c/div\\x3e			1	js/user/MyPage.js
未クリア優先			1	js/quest/CharaQuest.js
未コンプリート			1	js/quest/CharaQuest.js
ソートなし			1	js/quest/CharaQuest.js
既読ストーリーの再生設定			1	js/quest/QuestBattleSelect.js
クエストをプレイする際に\\x3cbr\\x3e一度見たストーリー			1	js/quest/QuestBattleSelect.js
設定に変更します。			1	js/quest/QuestBattleSelect.js
を\\x3cspan class\\x3d"c_pink"\\x3e再生する\\x3c/span\\x3e			1	js/quest/QuestBattleSelect.js
は\\x3cspan class\\x3d"c_pink"\\x3e再生しない\\x3c/span\\x3e			1	js/quest/QuestBattleSelect.js
このクエストには以下の開始条件があります\\x3cbr\\x3e			1	js/quest/QuestUtil.js
\\x3cbr\\x3eのみのチームでクエストを開始			1	js/quest/QuestUtil.js
\\x3cbr\\x3eを含むチームでクエストを開始			1	js/quest/QuestUtil.js
メインストーリー 第			1	js/quest/QuestUtil.js
今後追加のストーリーをクリア			1	js/quest/QuestUtil.js
ボーナス順			1	js/quest/SupportSelect.js
\\x3cp class\\x3d"supportCation ts_white"\\x3e対象の魔法少女は存在しません\\x3c/p\\x3e			1	js/quest/SupportSelect.js
時代を進める			1	js/quest/puellaHistoria/MirrorPartsView.js
現代神浜編 ストーリー解放			1	js/quest/puellaHistoria/MirrorPartsView.js
現代神浜編のストーリーが解放されました。			1	js/quest/puellaHistoria/MirrorPartsView.js
次の『ピュエラ・ヒストリア』イベントをお待ち下さい。			1	js/quest/puellaHistoria/MirrorPartsView.js
クリア演出確認			1	js/quest/puellaHistoria/MirrorPartsView.js
クエスト開始条件を<br>満たしていません		HTML片段	1	js/quest/puellaHistoria/lastBattle/GroupRaid.js
天気輪の魔力			1	js/quest/puellaHistoria/lastBattle/Model.js
クエスト開始条件を\\x3cbr\\x3e満たしていません			1	js/quest/puellaHistoria/lastBattle/SingleRaid.js
<option value="0">▼ コメントを選ぶ</option>		HTML片段	1	js/quest/puellaHistoria/lastBattle/parts/GroupRaid/Stamp.js
魔法少女の編成が完了いたしました。			1	js/quest/secondPartLast/Formation.js
制圧中の編成以外を以下の編成へと入れ替えます。よろしいですか？\\x3cbr\\x3e\\x3cdiv id\\x3d'autoFormationContainer'\\x3e\\x3c/div\\x3e			1	js/quest/secondPartLast/Formation.js
鏡の魔女との戦いには専用の編成が必要です。\\x3cbr\\x3eクエスト編成をコピーして編成を行いますか？			1	js/quest/secondPartLast/Formation.js
鏡の魔女			1	js/quest/secondPartLast/parts/StagePartsView.js
鏡の魔女の腕を\\x3cspan class\\x3d'attention'\\x3e全て制圧すると挑戦\\x3c/span\\x3eできます。			1	js/quest/secondPartLast/parts/StagePartsView.js
リコールランプ			1	js/quest/scene0/Utility.js
ドアプライズフィルム			1	js/quest/scene0/Utility.js
ストーリー再生			1	js/quest/scene0/Utility.js
個\\x3c/span\\x3e消費して\\x3cbr\\x3eストーリーを再生しますか？			1	js/quest/scene0/Utility.js
アイテム不足			1	js/quest/scene0/Utility.js
ストーリー開放に必要なアイテムが足りません。			1	js/quest/scene0/Utility.js
\\x3c/span\\x3eを\\x3cspan class\\x3d"c_pink"\\x3e			1	js/quest/scene0/Utility.js
イベントで指定された特訓対象の魔法少女は変更できません。			1	js/event/training/EventTrainingCharaSelect.js
◆ 強化クエスト			1	js/event/training/EventTrainingTop.js
◆ エピソードクエスト			1	js/event/training/EventTrainingTop.js
◆ エクストラクエスト			1	js/event/training/EventTrainingTop.js
いずれかの特訓クエストをクリアすると、<br>特訓対象の魔法少女を変更することができなくなります。<br>よろしいですか？		HTML片段	1	js/event/training/EventTrainingTop.js
特訓する魔法少女の決定			1	js/event/training/EventTrainingTop.js
<br><br><span class="c_red selectCaution">※Lv、エピソードLvが最大の魔法少女が選択されています。<br>これ以上EXP、エピソードPtを入手することはできません。</span>		HTML片段	1	js/event/training/EventTrainingTop.js
<br><br><span class="c_red selectCaution">※Lvが最大の魔法少女が選択されています。<br>これ以上EXPを入手することはできません。</span>		HTML片段	1	js/event/training/EventTrainingTop.js
<br><br><span class="c_red selectCaution">※エピソードLvが最大の魔法少女が選択されています。<br>これ以上エピソードPtを入手することはできません。</span>		HTML片段	1	js/event/training/EventTrainingTop.js
ー	ー	疑似碎片	1	js/event/singleraid/EventSingleRaidTop.js
チャレンジエリア			1	js/event/singleraid/EventSingleRaidTop.js
章 エリア			1	js/event/singleraid/EventSingleRaidTop.js
時間経過の為、対戦相手に変更がありました。\\x3cbr\\x3eミラーズトップに戻ります			1	js/event/arenaranking/view/EventArenaConfirmView.js
時間経過の為、対戦可能時間を超過しました。\\x3cbr\\x3eミラーズトップに戻ります			1	js/event/arenaranking/view/EventArenaConfirmView.js
対戦相手の変更(BP回復薬)			1	js/event/arenaranking/view/EventArenaRankingView.js
対戦回数を回復しました。\\x3cbr\\x3e0　\\x26#8594;　\\x3cspan class\\x3d'c_red'\\x3e			1	js/event/arenaranking/view/EventArenaRankingView.js
対戦相手の変更（BP回復薬）			1	js/event/arenaranking/view/EventArenaRankingView.js
現在対戦可能な相手がいないため\\x3cbr\\x3e変更を行うことができません。\\x3cbr\\x3eもう１度本画面に入り直してください。			1	js/event/arenaranking/view/EventArenaRankingView.js
対戦相手を変更しますか？\\x3cbr\\x3e(対戦相手の再抽選まであと			1	js/event/arenaranking/view/EventArenaRankingView.js
\\x3cli class\\x3d"nomatch"\\x3e現在対戦可能な相手がいません。\\x3cbr\\x3eしばらくしてから再度来場ください。\\x3c/li\\x3e			1	js/event/arenaranking/view/EventArenaRankingView.js
ランキングバトルのプレイ期間外のため\\x3cbr\\x3eプレイ結果は反映されません。\\x3cbr\\x3eトップページに戻ります。			1	js/event/arenaranking/view/EventArenaResultView.js
EXチャレンジクエスト			1	js/event/dailytower/EventDailyTowerTop.js
百禍チャレンジクエスト			1	js/event/dailytower/EventDailyTowerTop.js
◆ 百禍チャレンジクエスト			1	js/event/dailytower/EventDailyTowerTop.js
クエスト解放			1	js/event/dailytower/EventDailyTowerTop.js
は\\x3cbr /\\x3e			1	js/event/dailytower/EventDailyTowerTop.js
に解放されます			1	js/event/dailytower/EventDailyTowerTop.js
を配布しました。\\x3cbr\\x3e			1	js/event/dailytower/EventDailyTowerTop.js
を消費して\\x3cbr\\x3eイベントクエストをプレイしましょう！			1	js/event/dailytower/EventDailyTowerTop.js
チャレンジ\\x3cbr /\\x3e			1	js/event/dailytower/EventDailyTowerTop.js
特殊ルールはありません			1	js/event/EventArenaRankMatch/Model.js
バトルの所要時間が一定時間を超えたため<br>このバトルは無効になります。<br>イベントTOPに戻ります。		HTML片段	1	js/event/EventArenaRankMatch/Result.js
ミラーズランクマッチ			1	js/event/EventArenaRankMatch/Result.js
ランキングバトルのプレイ期間外のため<br>プレイ結果は反映されません。<br>トップページに戻ります。		HTML片段	1	js/event/EventArenaRankMatch/Result.js
バトルの結果が正しく取得できませんでした。<br>トップページに戻ります。		HTML片段	1	js/event/EventArenaRankMatch/Result.js
今回のミラーズバトルを<br>リプレイに保存しますか？		HTML片段	1	js/event/EventArenaRankMatch/Result.js
リプレイに保存しました。<br><br>有効期限：		HTML片段	1	js/event/EventArenaRankMatch/Result.js
・		疑似碎片	1	js/event/EventArenaRankMatch/Utility.js
それぞれ			1	js/event/EventArenaRankMatch/Utility.js
アップ		疑似碎片	1	js/event/EventArenaRankMatch/Utility.js
ダウン		疑似碎片	1	js/event/EventArenaRankMatch/Utility.js
属性魔法少女の			1	js/event/EventArenaRankMatch/Utility.js
個</span>不足しているため<br>回復できません。		HTML片段	1	js/event/EventArenaRankMatch/parts/AttackCount.js
ミラーズランクマッチの対戦回数を<br>		HTML片段	1	js/event/EventArenaRankMatch/parts/AttackCount.js
回回復しました。			1	js/event/EventArenaRankMatch/parts/AttackCount.js
対戦回数が残っていないので対戦できません。			1	js/event/EventArenaRankMatch/parts/AttackCount.js
個</span>不足しているため<br>クールタイムを解除できません。		HTML片段	1	js/event/EventArenaRankMatch/parts/CoolTime.js
クールタイム終了			1	js/event/EventArenaRankMatch/parts/CoolTime.js
クールタイムが終了しました。			1	js/event/EventArenaRankMatch/parts/CoolTime.js
クールタイムを解除しました。			1	js/event/EventArenaRankMatch/parts/CoolTime.js
デイリー報酬			1	js/event/EventArenaRankMatch/parts/DailyPresent.js
編成時間をタイムオーバーしました。\\x3cbr\\x3e対戦相手を選択する画面に戻ります。			1	js/event/EventArenaRankMatch/parts/DeckEditCountDown.js
防衛編成を設定するまで<br>ミラーズランクマッチのバトルは行えません。<br>防衛編成を設定してください。		HTML片段	1	js/event/EventArenaRankMatch/parts/DefenseDeckEditPopup.js
防衛編成画面へ			1	js/event/EventArenaRankMatch/parts/DefenseDeckEditPopup.js
マッチング時間をタイムオーバーしました。<br>対戦相手を変更します。		HTML片段	1	js/event/EventArenaRankMatch/parts/OpponentList.js
<li class="nomatch"><div class="textSec">残り対戦回数がありません。<br>対戦回数は毎日16:00にリセットされるほか<br>マギアストーンやランクマッチバトルチケットを<br>使用することで回復できます。<br></div></li>		HTML片段	1	js/event/EventArenaRankMatch/parts/OpponentList.js
特殊ルール			1	js/event/EventArenaRankMatch/parts/SpRule.js
<span class="b_screen"></span>回復する		HTML片段	1	js/event/EventArenaRankMatch/parts/recoverAttackCountBtnView.js
ストーリークリア			1	js/event/tower/EventTowerTop.js
チャレンジクエストが解放されました。			1	js/event/tower/EventTowerTop.js
チャレンジクエスト解放			1	js/event/EventWitch/page/Top.js
チャレンジクエストが\\x3cbr\\x3e解放されました。			1	js/event/EventWitch/page/Top.js
メモリア獲得			1	js/event/EventWitch/parts/ExchangeMemoria.js
のメモリアを獲得します。			1	js/event/EventWitch/parts/ExchangeMemoria.js
獲得する			1	js/event/EventWitch/parts/ExchangeMemoria.js
メモリア詳細			1	js/event/EventWitch/parts/MemoriaDetailPopup.js
可能性の因子			1	js/event/EventWitch/parts/TopBattleInfo.js
目にした嘆き			1	js/event/EventWitch/parts/TopBattleInfo.js
耳にした驚き			1	js/event/EventWitch/parts/TopBattleInfo.js
臭った諦め			1	js/event/EventWitch/parts/TopBattleInfo.js
味わった苦しみ			1	js/event/EventWitch/parts/TopBattleInfo.js
触れた悲しみ			1	js/event/EventWitch/parts/TopBattleInfo.js
現在第2部は公開されておりません。<br>公開までお待ちください。		HTML片段	1	js/event/branch/EventBranchTop.js
<span>または</span>		HTML片段	1	js/event/branch/EventBranchTop.js
希望の羽			1	js/event/EventWalpurgis/Model.js
\\x3coption value\\x3d"0"\\x3e▼ コメントを選ぶ\\x3c/option\\x3e			1	js/event/EventWalpurgis/parts/GroupRaid/Stamp.js
ポイントの移動			1	js/event/dungeon/EventDungeonMap.js
次のポイントに進みますか？			1	js/event/dungeon/EventDungeonMap.js
戦闘不能でない魔法少女を<br>メインメンバーに編成してください。		HTML片段	1	js/event/dungeon/EventDungeonMap.js
</span>のHPは最大です。		HTML片段	1	js/event/dungeon/EventDungeonMap.js
エリア攻略失敗			1	js/event/dungeon/EventDungeonTop.js
チーム全員が戦闘不能になったため<br>エリアからリタイアしました		HTML片段	1	js/event/dungeon/EventDungeonTop.js
CPが不足しています。			1	js/event/dungeon/EventDungeonTop.js
CPを回復しました。			1	js/event/dungeon/view/EventDungeonCpCureView.js
プレーヤー名７８			1	js/event/storyraid/EventStoryRaidTop.js
１ユーザー名７８			1	js/event/storyraid/EventStoryRaidTop.js
かきくけこ６７８９０＠かきくけこ６７８９０			1	js/event/storyraid/EventStoryRaidTop.js
２ユーザー名７８			1	js/event/storyraid/EventStoryRaidTop.js
２コメント６７８９０１２３４５６７８９０			1	js/event/storyraid/EventStoryRaidTop.js
３ユーザー名７８			1	js/event/storyraid/EventStoryRaidTop.js
３コメント６７８９０１２３４５６７８９０			1	js/event/storyraid/EventStoryRaidTop.js
４ユーザー名７８			1	js/event/storyraid/EventStoryRaidTop.js
４コメント６７８９０１２３４５６７８９０			1	js/event/storyraid/EventStoryRaidTop.js
５ユーザー名７８			1	js/event/storyraid/EventStoryRaidTop.js
５コメント６７８９０１２３４５６７８９０			1	js/event/storyraid/EventStoryRaidTop.js
【DEBUG】もらったJsonそのまま			1	js/event/storyraid/EventStoryRaidTop.js
【DEBUG】エリア解放			1	js/event/storyraid/EventStoryRaidTop.js
【DEBUG】マップエフェクト			1	js/event/storyraid/EventStoryRaidTop.js
【DEBUG】BOSSコマンド（			1	js/event/storyraid/EventStoryRaidTop.js
【DEBUG】ボス交戦中(2回目以降)			1	js/event/storyraid/EventStoryRaidTop.js
【DEBUG】ボス交戦中(初回)			1	js/event/storyraid/EventStoryRaidTop.js
【DEBUG】ボス最終戦HELP			1	js/event/storyraid/EventStoryRaidTop.js
コメントを入力してください。			1	js/event/storyraid/EventStoryRaidTop.js
イベント参加条件			1	js/event/storyraid/EventStoryRaidTop.js
イベント『			1	js/event/storyraid/EventStoryRaidTop.js
』は<br>		HTML片段	1	js/event/storyraid/EventStoryRaidTop.js
まで開催します。<br><br>イベントに参加するためには<br>【		HTML片段	1	js/event/storyraid/EventStoryRaidTop.js
】<br>している必要があります。		HTML片段	1	js/event/storyraid/EventStoryRaidTop.js
メインストーリーへ			1	js/event/storyraid/EventStoryRaidTop.js
バトルの結果が正しく取得できませんでした。<br>イベントトップページに戻ります。		HTML片段	1	js/event/arenaMission/EventArenaMissionResult.js
BPを1消費して対戦相手を変更しますか？<br>(対戦相手の再抽選まであと		HTML片段	1	js/event/arenaMission/EventArenaMissionStage.js
イベントページへ			1	js/event/arenaMission/view/ArenaConfirmView.js
バトル開始には、3人以上の魔法少女が<br>編成に含まれている必要があります。		HTML片段	1	js/event/accomplish/EventAccomplishDeck.js
魔法少女・メモリア装備の変更を保存して</br>チーム編成を終了しますか？		HTML片段	1	js/event/accomplish/EventAccomplishDeck.js
本日分の回復回数の上限に達しています。<br>回復回数は		HTML片段	1	js/event/accomplish/EventAccomplishRecovery.js
に更新されます。			1	js/event/accomplish/EventAccomplishRecovery.js
選択された魔法少女は回復が完了しています			1	js/event/accomplish/EventAccomplishRecovery.js
」を回復しますか？<br>		HTML片段	1	js/event/accomplish/EventAccomplishRecovery.js
<br><br>本日の回復		HTML片段	1	js/event/accomplish/EventAccomplishRecovery.js
回復が完了しました			1	js/event/accomplish/EventAccomplishRecovery.js
回復まであと <span id="popupTimer">		HTML片段	1	js/event/accomplish/EventAccomplishRecovery.js
クリアセクション			1	js/event/accomplish/EventAccomplishTop.js
ストーリー最後			1	js/event/accomplish/EventAccomplishTop.js
チャレンジ最後			1	js/event/accomplish/EventAccomplishTop.js
逃亡しました			1	js/event/raid/EventRaidTop.js
RPが不足しています。			1	js/event/raid/EventRaidTop.js
戦ったボスはまだ倒すことができていません。<br>他のプレイヤーに救援要請を送って<br>ボスの撃破に協力してもらいましょう。<br><br><span class='c_red'>※救援要請することで他のプレイヤーがボスを攻撃できるようになります</span>		HTML片段	1	js/event/raid/EventRaidTop.js
救援要請する			1	js/event/raid/EventRaidTop.js
救援要請を送りました。			1	js/event/raid/EventRaidTop.js
RPを回復しました。			1	js/event/raid/view/EventRaidRpCureView.js
ブロック中です			1	js/follow/FollowPopup.js
BPが足りません			1	js/follow/FollowPopup.js
BPを回復してもう一度お試しください。			1	js/follow/FollowPopup.js
フォロー解除			1	js/follow/FollowPopup.js
\\x3cspan class\\x3d'popUserName'\\x3e\\x3c/span\\x3eのフォローを解除しました。\\x3cbr\\x3e\\x3cbr\\x3e			1	js/follow/FollowPopup.js
ミッション報酬を1件受け取りました。\\x3cbr\\x3e\\x3cbr\\x3e※受け取ったアイテムは直接付与されています。			1	js/mission/DoppelMissionTop.js
\\x3cp class\\x3d"noMission"\\x3e挑戦できるミッションがありません\\x3c/p\\x3e			1	js/mission/DoppelMissionTop.js
一括パトロール			1	js/patrol/PatrolTop.js
パトロールに出発できる魔法少女が不足しています。			1	js/patrol/PatrolTop.js
パトロール完了			1	js/patrol/PatrolTop.js
\\x3cspan\\x3e完了まで\\x3c/span\\x3e			1	js/patrol/PatrolTop.js
エリア未解放			1	js/patrol/PatrolTop.js
条件を満たしていません			1	js/patrol/PatrolTop.js
パトロールに出発できる魔法少女がいません。			1	js/patrol/view/PatrolDeckView.js
パトロールに出発するには\\x3cbr\\x3e魔法少女が\\x3cspan class\\x3d'c_red'\\x3e1\\x3c/span\\x3e体以上必要です。			1	js/patrol/view/PatrolDeckView.js
\\x3cspan class\\x3d'c_red'\\x3eパトロール中\\x3c/span\\x3eの魔法少女がいます。			1	js/patrol/view/PatrolDeckView.js
通信エラーが発生しました。<span style='display:block;margin-top:20px;font-size:20px'>※内部処理は実行されている可能性がございます。</span>		HTML片段	1	js/_common/_common.js
現在、アクセスが集中しております。\\x3cbr\\x3eしばらくたってからアクセスをお願いいたします。			1	js/_common/ajaxControl.js
予期せぬエラー			1	js/_common/ajaxControl.js
予期せぬエラーが発生しました。\\x3cbr /\\x3eご迷惑をおかけし、申し訳ございません。[			1	js/_common/ajaxControl.js
データ更新			1	js/_common/ajaxControl.js
データが更新されました。\\x3cbr\\x3eトップページに遷移します。			1	js/_common/ajaxControl.js
通信エラーのポップアップ出したい			1	js/_common/ajaxControl.js
新しい称号を獲得しました			1	js/_common/backboneCommon.js
エラーが発生しました。トップページに遷移します。			1	js/_common/base.js
\\nクエストスタブページへ遷移します。			1	js/_common/isBrowser.js
\\nアリーナスタブページへ遷移します。			1	js/_common/isBrowser.js
\\nイベントアリーナスタブページへ遷移します。			1	js/_common/isBrowser.js
デスティニージェムをマギアチップに変換			1	js/_common/nativeCommand.js
余ったデスティニージェムは、アイテムリスト画面と@魔力解放画面でマギアチップに交換できます			1	js/_common/nativeCommand.js
ドッペルを持つ魔法少女は@マギアゲージが150まで溜まると発動できます			1	js/_common/nativeCommand.js
マギアLvを5にするとマギアゲージ上限が@150まで解放されます			1	js/_common/nativeCommand.js
デスティニークリスタルの入手方法			1	js/_common/nativeCommand.js
初期レアリティが★4で最大まで魔力解放した魔法少女の@デスティニージェムを変換する際に付与されます			1	js/_common/nativeCommand.js
ムービーデータのダウンロードを開始します。			1	js/_common/nativeCommand.js
ボイスデータのダウンロードを開始します。			1	js/_common/nativeCommand.js
※ムービーデータは、後からダウンロードすることも可能です。\\n※Wi-Fi環境でのダウンロードをお勧めします。			1	js/_common/nativeCommand.js
ドッペルを持つ魔法少女は@マギアゲージが200まで溜まると発動できます			1	js/_common/nativeCommand2.js
マギアLvを5にするとマギアゲージ上限が@200まで解放されます			1	js/_common/nativeCommand2.js
アプリを終了しますか？			1	js/_common/router.js
※10連ガチャのうち1枚は、魔法少女確定時の確率で抽選されます。\\x3cbr\\x3e※10連ガチャのうち1枚は、★3以上確定時の確率で抽選されます。\\x3cbr\\x3e※10連ガチャのうち★3以上確定時、魔法少女確定時を除いた8枚は、通常の確率で抽選されます。\\x3cbr\\x3e\\x3cbr\\x3e※提供魔法少女、メモリアは重複する可能性があります。\\x3cbr\\x3e※既に所有している魔法少女を獲得した場合、獲得した魔法少女は、獲得した魔法少女のデスティニージェム\\x3cbr\\x3e　1個に変わります。\\x3cbr\\x3e\\x3cbr\\x3e※個別の魔法少女、メモリアの確率については、小数点第6位を切り捨てしているため、\\x3cbr\\x3e　合計しても100％にならないことがあります。			1	js/gacha/GachaProbability.js
※10連ガチャのうち1枚は、魔法少女確定時の確率で抽選されます。\\x3cbr\\x3e※10連ガチャのうち1枚は、★3以上確定時の確率で抽選されます。\\x3cbr\\x3e※10連ガチャのうち★3以上確定時、魔法少女確定時を除いた8枚は、通常の確率で抽選されます。\\x3cbr\\x3e※99回連続で★4魔法少女が排出されなかった場合、100回目は★4魔法少女確定時の確率で抽選されます。\\x3cbr\\x3e\\x3cbr\\x3e※提供魔法少女、メモリアは重複する可能性があります。\\x3cbr\\x3e※既に所有している魔法少女を獲得した場合、獲得した魔法少女は、獲得した魔法少女のデスティニージェム\\x3cbr\\x3e　1個に変わります。\\x3cbr\\x3e\\x3cbr\\x3e※個別の魔法少女、メモリアの確率については、小数点第6位を切り捨てしているため、\\x3cbr\\x3e　合計しても100％にならないことがあります。			1	js/gacha/GachaProbability.js
※既に所有している魔法少女を獲得した場合、獲得した魔法少女は、獲得した魔法少女のデスティニージェム\\x3cbr\\x3e　1個に変わります。			1	js/gacha/GachaProbability.js
レベルが上限に達しています			1	js/chara/CharaCompose.js
素材を選択してください			1	js/chara/CharaCompose.js
エピソードLv強化			1	js/chara/CharaCompose.js
します。\\x3c/br\\x3eよろしいですか？\\x3c/p\\x3e			1	js/chara/CharaCompose.js
使用ジェム選択			1	js/chara/CharaCompose.js
マギアレベルが上限に達しています			1	js/chara/CharaComposeMagia.js
マギア強化確認			1	js/chara/CharaComposeMagia.js
のマギアを強化します。\\x3c/br\\x3eよろしいですか？\\x3cp\\x3e			1	js/chara/CharaComposeMagia.js
マギアLvは最大です			1	js/chara/CharaComposeMagia.js
エピソードLvを上げると\\x3c/br\\x3eマギアLvの上限が解放されます			1	js/chara/CharaComposeMagia.js
覚醒素材をセットしてください			1	js/chara/CharaCustomize.js
覚醒可能なLvに達していません			1	js/chara/CharaCustomize.js
上限まで覚醒されています			1	js/chara/CharaCustomize.js
覚醒できません			1	js/chara/CharaCustomize.js
を覚醒します。\\x3cbr\\x3eよろしいですか？\\x3c/p\\x3e			1	js/chara/CharaCustomize.js
精神強化されていないためリセットはできません。			1	js/chara/CharaEnhancementTree.js
精神強化をリセットしました。			1	js/chara/CharaEnhancementTree.js
原点の器を1個消費して、\\x3cspan class\\x3d'c_pink'\\x3e			1	js/chara/CharaEnhancementTree.js
\\x3c/span\\x3eの\\x3cbr\\x3e精神強化をすべてリセットします。よろしいですか？\\x3cbr\\x3e\\x3cspan class\\x3d'resetCaution c_red'\\x3e※精神強化に使用した素材は返還されますが、CCは返還されません\\x3c/span\\x3e\\x3cdiv class\\x3d'resetItem pointFrame'\\x3e\\x3cspan class\\x3d'hasIcons'\\x3e\\x3cimg src\\x3d'/magica/resource/image_web/common/icon/icon_reset_enhance_f.png'\\x3e\\x3c/span\\x3e\\x3cspan class\\x3d'itemCount'\\x3e			1	js/chara/CharaEnhancementTree.js
リセット			1	js/chara/CharaEnhancementTree.js
